generation,cost_obj1,aep_obj2
12,              741196968.4,               82730238.3
12,             1169863765.0,              137979671.9
12,             1713453183.9,              200317226.9
12,             1425814042.3,              182391911.5
12,             1596952236.1,              191110756.5
12,              884358692.1,              113312248.8
12,             1289221808.5,              159385501.0
12,             1604036054.3,              195925439.4
12,              996249130.7,              128270165.9
12,             1710346006.2,              198916460.7
12,             1196322431.5,              148691787.2
12,             1735614220.0,              209239886.7
12,             1306001825.8,              163818799.0
12,             1344948805.8,              172463693.1
12,             1696524106.6,              196784750.2
12,             1306228596.5,              163950260.3
12,             1148654376.0,              137497242.1
12,             1304319124.6,              163174215.7
12,              706310998.8,               72212502.6
12,             1448263847.0,              183086009.5
12,             1190295771.4,              141910808.1
12,             1814128147.1,              215363845.5
12,             1133478902.8,              129596863.3
12,             1145512733.9,              131983036.3
12,              931601047.8,              120782529.3
12,             1336913683.5,              171692919.0
12,              829705336.8,               95936428.5
12,             1765772584.3,              212807676.0
12,             1731583195.8,              202995837.5
12,             1259729070.3,              154337691.4
12,             1260498155.5,              155126518.4
12,              841486655.1,              104169154.5
12,             1299297237.8,              161622294.5
12,             1818707320.7,              218202087.1
12,              925878050.4,              118111137.3
12,             1370193208.2,              177091531.8
12,             1280577582.6,              158524901.5
12,             1228705333.5,              153617229.8
12,             1367210862.9,              174684201.4
12,             1183458682.2,              139930026.1
12,             1852237311.6,              221530511.5
12,              763147787.1,               85597910.5
12,              902288825.3,              114818775.7
12,             1560797035.9,              189684907.7
12,             1765569694.3,              210293594.8
12,             1374931225.9,              177601597.3
12,              835351989.4,              103517087.9
12,             1192432426.1,              146318010.7
12,             1701225157.2,              196835789.6
12,             1304022858.4,              162285833.9
12,             1729331695.1,              202522996.4
12,             1224526233.5,              151556590.1
12,              945418985.5,              121803118.8
12,             1778104507.5,              215275023.3
12,              865918945.0,              106697971.6
12,             1272411001.5,              158047824.3
12,             1384004906.3,              179072124.3
12,              972262950.3,              125249277.9
12,              913680357.5,              117992667.2
12,             1116237351.1,              128467034.7
12,             1603931375.7,              194742172.9
12,             1430293010.8,              182567148.3
12,              810629843.0,               93504304.5
12,             1558847375.4,              183148993.6
12,             1224402630.3,              148760691.8
12,             1402983109.1,              182266179.1
13,              548218359.2,               60294140.5
13,             1880337858.4,              226329622.7
13,             1313124153.3,              165205860.4
13,             1722713933.7,              200867647.6
13,             1370193208.2,              177091531.8
13,             1731583195.8,              202995837.5
13,             1319983025.8,              168373955.9
13,             1603931375.7,              194742172.9
13,             1145512733.9,              131983036.3
13,             1560797035.9,              189684907.7
13,             1262742469.5,              161132722.2
13,              652141867.0,               66329284.2
13,              775441175.7,               93008432.1
13,             1344948805.8,              172463693.1
13,             1778104507.5,              215275023.3
13,             1422739078.3,              186675712.0
13,              994740898.6,              128996126.1
13,             1698448148.2,              199888016.0
13,             1814128147.1,              215363845.5
13,             1735614220.0,              209239886.7
13,             1169863765.0,              137979671.9
13,             1402983109.1,              182266179.1
13,              931601047.8,              120782529.3
13,             1818707320.7,              218202087.1
13,             1595506200.3,              193486197.2
13,             1148654376.0,              137497242.1
13,             1713453183.9,              200317226.9
13,             1733184712.8,              207781417.2
13,              899639796.6,              116968016.8
13,             1180297375.2,              143652654.1
13,             1365791457.5,              175007395.0
13,              865918945.0,              106697971.6
13,             1729331695.1,              202522996.4
13,             1245333286.3,              156416706.4
13,             1605720543.1,              197196016.0
13,              970133476.6,              122220231.1
13,             1698333308.3,              198760292.4
13,              945418985.5,              121803118.8
13,             1133478902.8,              129596863.3
13,              913680357.5,              117992667.2
13,              884358692.1,              113312248.8
13,             1828961525.3,              222715075.8
13,             1760552156.4,              209921958.6
13,              741196968.4,               82730238.3
13,             1299297237.8,              161622294.5
13,             1430868146.1,              187091098.2
13,             1374049924.8,              180102307.0
13,             1141343472.8,              130638255.3
13,              972262950.3,              125249277.9
13,              829705336.8,               95936428.5
13,             1765569694.3,              210293594.8
13,             1411326841.1,              182724283.1
13,             1765772584.3,              212807676.0
13,              841486655.1,              104169154.5
13,              925878050.4,              118111137.3
13,              866851930.9,              109585058.5
13,              835351989.4,              103517087.9
13,             1196322431.5,              148691787.2
